№ 0	10 лв	10 бр	Мега кеш	
№ 1	10 лв	5 бр	Американски долари	
№ 2	5 лв	10 бр	Златните пирамиди 2	
№ 3	5 лв	6 бр	Американско бинго за милиони	
№ 4	5 лв	8 бр	Casino	
№ 5	5 лв	6 бр	Кеш Х 50	
№ 6	5 лв	6 бр	Диамантена 7	
№ 7	3 лв	10 бр	Супер лото + 2018	
№ 8	3 лв	15 бр	Кеш кръстословици 4	
№ 9	3 лв	6 бр	Китайски дракон	
№ 10	3 лв	6 бр	Златните пирамиди 6	
№ 11	3 лв	3 бр	Печалба за цял живот	
№ 12	3 лв	14 бр	Американско бинго 3
№ 13	2 лв	14 бр	Супер думи	
№ 14	2 лв	10 бр	Лото + 2018	
№ 15	2 лв	9 бр	Двойно кафе	
№ 16	2 лв	5 бр	Златната рибка	
